set_id,directory,method,normalised,log1p,scaled,time_seconds,absolute,corr_penalty,data_path,dataset,fraction_seed,gene_subset,n,n_pcs,obs_fraction,obs_key,penalty_keys,rankby_abs,seed,variance_scaled
genesets_1_88,.,random,False,False,False,0.001618096008314751,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,6780,
genesets_1_89,.,random,False,False,False,0.0019006650109076872,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,6890,
genesets_1_90,.,random,False,False,False,0.0016697639948688447,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,3301,
genesets_1_91,.,random,False,False,False,0.001536668001790531,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,9444,
genesets_1_92,.,random,False,False,False,0.0021534010011237115,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,7135,
genesets_1_93,.,random,False,False,False,0.0015739030059194192,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,5585,
genesets_1_94,.,random,False,False,False,0.0015306819987017661,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,7793,
genesets_1_95,.,random,False,False,False,0.0017145680030807853,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,7609,
genesets_1_96,.,random,False,False,False,0.0014950199984014034,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,2835,
genesets_1_97,.,random,False,False,False,0.0019995879993075505,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,571,
genesets_1_98,.,random,False,False,False,0.0016565709956921637,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,4000,
genesets_1_99,.,random,False,False,False,0.0015659280034014955,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,8571,
genesets_1_100,.,random,False,False,False,0.001652013001148589,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,397,
genesets_1_101,.,random,False,False,False,0.0017021329986164346,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,1921,
genesets_1_102,.,random,False,False,False,0.0018175120058003813,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,5225,
genesets_1_103,.,random,False,False,False,0.002627467009006068,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,4073,
genesets_1_104,.,random,False,False,False,0.001726985996356234,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,8537,
genesets_1_105,.,random,False,False,False,0.0016173190088011324,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,3028,
genesets_1_106,.,random,False,False,False,0.0017981239943765104,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,3714,
genesets_1_107,.,random,False,False,False,0.0015406960010295734,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,5964,
genesets_1_108,.,random,False,False,False,0.0018970509991049767,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,5281,
genesets_1_109,.,random,False,False,False,0.0017693730042083189,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,3899,
genesets_1_110,.,random,False,False,False,0.0017290410032728687,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,8369,
genesets_1_111,.,random,False,False,False,0.001463116001104936,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,9869,
genesets_1_112,.,random,False,False,False,0.0015371609915746376,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,6381,
genesets_1_113,.,random,False,False,False,0.00196853099623695,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,4006,
genesets_1_114,.,random,False,False,False,0.002387485990766436,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,343,
genesets_1_115,.,random,False,False,False,0.0018493749957997352,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,2470,
genesets_1_116,.,random,False,False,False,0.001906941004563123,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,830,
genesets_1_117,.,random,False,False,False,0.0019141149969073012,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,6311,
genesets_1_118,.,random,False,False,False,0.0018186759989475831,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,1312,
genesets_1_119,.,random,False,False,False,0.001635351000004448,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,7174,
genesets_1_120,.,random,False,False,False,0.0018591760017443448,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,3550,
genesets_1_121,.,random,False,False,False,0.0018587929953355342,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,7084,
genesets_1_122,.,random,False,False,False,0.0018154520075768232,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,6455,
genesets_1_123,.,random,False,False,False,0.0019071770075242966,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,6697,
genesets_1_124,.,random,False,False,False,0.001956877007614821,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,1466,
genesets_1_125,.,random,False,False,False,0.0015763329865876585,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,4221,
genesets_1_126,.,random,False,False,False,0.0016522459918633103,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,7986,
genesets_1_127,.,highest_expr,True,True,False,0.010592301012366079,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,,,,[],,,
